"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"A","NA",8,"NA",30,-7.5,"NA"
"A","NA",8,"NA",30,7.5,"NA"
"A","NA",8,"NA",20,-7.5,"NA"
"A","NA",8,"NA",20,7.5,"NA"
"A","NA",8,"NA",40,-7.5,"NA"
"A","NA",8,"NA",40,7.5,"NA"
"A","NA",8,"NA",50,-7.5,"NA"
"A","NA",8,"NA",50,7.5,"NA"
"A","NA",8,"NA",60,-7.5,"NA"
"A","NA",8,"NA",60,7.5,"NA"
"A","NA",8.75,"NA",30,-7.5,"NA"
"A","NA",8.75,"NA",30,7.5,"NA"
"A","NA",8.75,"NA",20,-7.5,"NA"
"A","NA",8.75,"NA",20,7.5,"NA"
"A","NA",8.75,"NA",40,-7.5,"NA"
"A","NA",8.75,"NA",40,7.5,"NA"
"A","NA",8.75,"NA",50,-7.5,"NA"
"A","NA",8.75,"NA",50,7.5,"NA"
"A","NA",8.75,"NA",60,-7.5,"NA"
"A","NA",8.75,"NA",60,7.5,"NA"
"A","NA",7.25,"NA",30,-7.5,"NA"
"A","NA",7.25,"NA",30,7.5,"NA"
"A","NA",7.25,"NA",20,-7.5,"NA"
"A","NA",7.25,"NA",20,7.5,"NA"
"A","NA",7.25,"NA",40,-7.5,"NA"
"A","NA",7.25,"NA",40,7.5,"NA"
"A","NA",7.25,"NA",50,-7.5,"NA"
"A","NA",7.25,"NA",50,7.5,"NA"
"A","NA",7.25,"NA",60,-7.5,"NA"
"A","NA",7.25,"NA",60,7.5,"NA"
"A","NA",10,"NA",30,-7.5,"NA"
"A","NA",10,"NA",30,7.5,"NA"
"A","NA",10,"NA",20,-7.5,"NA"
"A","NA",10,"NA",20,7.5,"NA"
"A","NA",10,"NA",40,-7.5,"NA"
"A","NA",10,"NA",40,7.5,"NA"
"A","NA",10,"NA",50,-7.5,"NA"
"A","NA",10,"NA",50,7.5,"NA"
"A","NA",10,"NA",60,-7.5,"NA"
"A","NA",10,"NA",60,7.5,"NA"
"A","NA",10.75,"NA",30,-7.5,"NA"
"A","NA",10.75,"NA",30,7.5,"NA"
"A","NA",10.75,"NA",20,-7.5,"NA"
"A","NA",10.75,"NA",20,7.5,"NA"
"A","NA",10.75,"NA",40,-7.5,"NA"
"A","NA",10.75,"NA",40,7.5,"NA"
"A","NA",10.75,"NA",50,-7.5,"NA"
"A","NA",10.75,"NA",50,7.5,"NA"
"A","NA",10.75,"NA",60,-7.5,"NA"
"A","NA",10.75,"NA",60,7.5,"NA"
"A","NA",9.25,"NA",30,-7.5,"NA"
"A","NA",9.25,"NA",30,7.5,"NA"
"A","NA",9.25,"NA",20,-7.5,"NA"
"A","NA",9.25,"NA",20,7.5,"NA"
"A","NA",9.25,"NA",40,-7.5,"NA"
"A","NA",9.25,"NA",40,7.5,"NA"
"A","NA",9.25,"NA",50,-7.5,"NA"
"A","NA",9.25,"NA",50,7.5,"NA"
"A","NA",9.25,"NA",60,-7.5,"NA"
"A","NA",9.25,"NA",60,7.5,"NA"
"A","NA",12,"NA",30,-7.5,"NA"
"A","NA",12,"NA",30,7.5,"NA"
"A","NA",12,"NA",20,-7.5,"NA"
"A","NA",12,"NA",20,7.5,"NA"
"A","NA",12,"NA",40,-7.5,"NA"
"A","NA",12,"NA",40,7.5,"NA"
"A","NA",12,"NA",50,-7.5,"NA"
"A","NA",12,"NA",50,7.5,"NA"
"A","NA",12,"NA",60,-7.5,"NA"
"A","NA",12,"NA",60,7.5,"NA"
"A","NA",12.75,"NA",30,-7.5,"NA"
"A","NA",12.75,"NA",30,7.5,"NA"
"A","NA",12.75,"NA",20,-7.5,"NA"
"A","NA",12.75,"NA",20,7.5,"NA"
"A","NA",12.75,"NA",40,-7.5,"NA"
"A","NA",12.75,"NA",40,7.5,"NA"
"A","NA",12.75,"NA",50,-7.5,"NA"
"A","NA",12.75,"NA",50,7.5,"NA"
"A","NA",12.75,"NA",60,-7.5,"NA"
"A","NA",12.75,"NA",60,7.5,"NA"
"A","NA",11.25,"NA",30,-7.5,"NA"
"A","NA",11.25,"NA",30,7.5,"NA"
"A","NA",11.25,"NA",20,-7.5,"NA"
"A","NA",11.25,"NA",20,7.5,"NA"
"A","NA",11.25,"NA",40,-7.5,"NA"
"A","NA",11.25,"NA",40,7.5,"NA"
"A","NA",11.25,"NA",50,-7.5,"NA"
"A","NA",11.25,"NA",50,7.5,"NA"
"A","NA",11.25,"NA",60,-7.5,"NA"
"A","NA",11.25,"NA",60,7.5,"NA"
