"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"AV",8,8,30,30,-7.5,"small"
"AV",8,8,30,30,-7.5,"large"
"AV",8,8,30,30,7.5,"small"
"AV",8,8,30,30,7.5,"large"
"AV",8,8,30,20,-7.5,"small"
"AV",8,8,30,20,-7.5,"large"
"AV",8,8,30,20,7.5,"small"
"AV",8,8,30,20,7.5,"large"
"AV",8,8,30,40,-7.5,"small"
"AV",8,8,30,40,-7.5,"large"
"AV",8,8,30,40,7.5,"small"
"AV",8,8,30,40,7.5,"large"
"AV",8,8,20,30,-7.5,"small"
"AV",8,8,20,30,-7.5,"large"
"AV",8,8,20,30,7.5,"small"
"AV",8,8,20,30,7.5,"large"
"AV",8,8,40,30,-7.5,"small"
"AV",8,8,40,30,-7.5,"large"
"AV",8,8,40,30,7.5,"small"
"AV",8,8,40,30,7.5,"large"
"AV",8,8,50,50,-7.5,"small"
"AV",8,8,50,50,-7.5,"large"
"AV",8,8,50,50,7.5,"small"
"AV",8,8,50,50,7.5,"large"
"AV",8,8,50,40,-7.5,"small"
"AV",8,8,50,40,-7.5,"large"
"AV",8,8,50,40,7.5,"small"
"AV",8,8,50,40,7.5,"large"
"AV",8,8,50,60,-7.5,"small"
"AV",8,8,50,60,-7.5,"large"
"AV",8,8,50,60,7.5,"small"
"AV",8,8,50,60,7.5,"large"
"AV",8,8,40,50,-7.5,"small"
"AV",8,8,40,50,-7.5,"large"
"AV",8,8,40,50,7.5,"small"
"AV",8,8,40,50,7.5,"large"
"AV",8,8,60,50,-7.5,"small"
"AV",8,8,60,50,-7.5,"large"
"AV",8,8,60,50,7.5,"small"
"AV",8,8,60,50,7.5,"large"
"AV",7.25,8.75,30,30,-7.5,"small"
"AV",7.25,8.75,30,30,-7.5,"large"
"AV",7.25,8.75,30,30,7.5,"small"
"AV",7.25,8.75,30,30,7.5,"large"
"AV",7.25,8.75,30,20,-7.5,"small"
"AV",7.25,8.75,30,20,-7.5,"large"
"AV",7.25,8.75,30,20,7.5,"small"
"AV",7.25,8.75,30,20,7.5,"large"
"AV",7.25,8.75,30,40,-7.5,"small"
"AV",7.25,8.75,30,40,-7.5,"large"
"AV",7.25,8.75,30,40,7.5,"small"
"AV",7.25,8.75,30,40,7.5,"large"
"AV",7.25,8.75,20,30,-7.5,"small"
"AV",7.25,8.75,20,30,-7.5,"large"
"AV",7.25,8.75,20,30,7.5,"small"
"AV",7.25,8.75,20,30,7.5,"large"
"AV",7.25,8.75,40,30,-7.5,"small"
"AV",7.25,8.75,40,30,-7.5,"large"
"AV",7.25,8.75,40,30,7.5,"small"
"AV",7.25,8.75,40,30,7.5,"large"
"AV",7.25,8.75,50,50,-7.5,"small"
"AV",7.25,8.75,50,50,-7.5,"large"
"AV",7.25,8.75,50,50,7.5,"small"
"AV",7.25,8.75,50,50,7.5,"large"
"AV",7.25,8.75,50,40,-7.5,"small"
"AV",7.25,8.75,50,40,-7.5,"large"
"AV",7.25,8.75,50,40,7.5,"small"
"AV",7.25,8.75,50,40,7.5,"large"
"AV",7.25,8.75,50,60,-7.5,"small"
"AV",7.25,8.75,50,60,-7.5,"large"
"AV",7.25,8.75,50,60,7.5,"small"
"AV",7.25,8.75,50,60,7.5,"large"
"AV",7.25,8.75,40,50,-7.5,"small"
"AV",7.25,8.75,40,50,-7.5,"large"
"AV",7.25,8.75,40,50,7.5,"small"
"AV",7.25,8.75,40,50,7.5,"large"
"AV",7.25,8.75,60,50,-7.5,"small"
