"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"V",8,"NA",30,"NA","NA","small"
"V",8,"NA",30,"NA","NA","large"
"V",8,"NA",20,"NA","NA","small"
"V",8,"NA",20,"NA","NA","large"
"V",8,"NA",40,"NA","NA","small"
"V",8,"NA",40,"NA","NA","large"
"V",8,"NA",50,"NA","NA","small"
"V",8,"NA",50,"NA","NA","large"
"V",8,"NA",60,"NA","NA","small"
"V",8,"NA",60,"NA","NA","large"
"V",7.25,"NA",30,"NA","NA","small"
"V",7.25,"NA",30,"NA","NA","large"
"V",7.25,"NA",20,"NA","NA","small"
"V",7.25,"NA",20,"NA","NA","large"
"V",7.25,"NA",40,"NA","NA","small"
"V",7.25,"NA",40,"NA","NA","large"
"V",7.25,"NA",50,"NA","NA","small"
"V",7.25,"NA",50,"NA","NA","large"
"V",7.25,"NA",60,"NA","NA","small"
"V",7.25,"NA",60,"NA","NA","large"
"V",8.75,"NA",30,"NA","NA","small"
"V",8.75,"NA",30,"NA","NA","large"
"V",8.75,"NA",20,"NA","NA","small"
"V",8.75,"NA",20,"NA","NA","large"
"V",8.75,"NA",40,"NA","NA","small"
"V",8.75,"NA",40,"NA","NA","large"
"V",8.75,"NA",50,"NA","NA","small"
"V",8.75,"NA",50,"NA","NA","large"
"V",8.75,"NA",60,"NA","NA","small"
"V",8.75,"NA",60,"NA","NA","large"
"V",10,"NA",30,"NA","NA","small"
"V",10,"NA",30,"NA","NA","large"
"V",10,"NA",20,"NA","NA","small"
"V",10,"NA",20,"NA","NA","large"
"V",10,"NA",40,"NA","NA","small"
"V",10,"NA",40,"NA","NA","large"
"V",10,"NA",50,"NA","NA","small"
"V",10,"NA",50,"NA","NA","large"
"V",10,"NA",60,"NA","NA","small"
"V",10,"NA",60,"NA","NA","large"
"V",9.25,"NA",30,"NA","NA","small"
"V",9.25,"NA",30,"NA","NA","large"
"V",9.25,"NA",20,"NA","NA","small"
"V",9.25,"NA",20,"NA","NA","large"
"V",9.25,"NA",40,"NA","NA","small"
"V",9.25,"NA",40,"NA","NA","large"
"V",9.25,"NA",50,"NA","NA","small"
"V",9.25,"NA",50,"NA","NA","large"
"V",9.25,"NA",60,"NA","NA","small"
"V",9.25,"NA",60,"NA","NA","large"
"V",10.75,"NA",30,"NA","NA","small"
"V",10.75,"NA",30,"NA","NA","large"
"V",10.75,"NA",20,"NA","NA","small"
"V",10.75,"NA",20,"NA","NA","large"
"V",10.75,"NA",40,"NA","NA","small"
"V",10.75,"NA",40,"NA","NA","large"
"V",10.75,"NA",50,"NA","NA","small"
"V",10.75,"NA",50,"NA","NA","large"
"V",10.75,"NA",60,"NA","NA","small"
"V",10.75,"NA",60,"NA","NA","large"
"V",12,"NA",30,"NA","NA","small"
"V",12,"NA",30,"NA","NA","large"
"V",12,"NA",20,"NA","NA","small"
"V",12,"NA",20,"NA","NA","large"
"V",12,"NA",40,"NA","NA","small"
"V",12,"NA",40,"NA","NA","large"
"V",12,"NA",50,"NA","NA","small"
"V",12,"NA",50,"NA","NA","large"
"V",12,"NA",60,"NA","NA","small"
"V",12,"NA",60,"NA","NA","large"
"V",11.25,"NA",30,"NA","NA","small"
"V",11.25,"NA",30,"NA","NA","large"
"V",11.25,"NA",20,"NA","NA","small"
"V",11.25,"NA",20,"NA","NA","large"
"V",11.25,"NA",40,"NA","NA","small"
"V",11.25,"NA",40,"NA","NA","large"
"V",11.25,"NA",50,"NA","NA","small"
"V",11.25,"NA",50,"NA","NA","large"
"V",11.25,"NA",60,"NA","NA","small"
"V",11.25,"NA",60,"NA","NA","large"
"V",12.75,"NA",30,"NA","NA","small"
"V",12.75,"NA",30,"NA","NA","large"
"V",12.75,"NA",20,"NA","NA","small"
"V",12.75,"NA",20,"NA","NA","large"
"V",12.75,"NA",40,"NA","NA","small"
"V",12.75,"NA",40,"NA","NA","large"
"V",12.75,"NA",50,"NA","NA","small"
"V",12.75,"NA",50,"NA","NA","large"
"V",12.75,"NA",60,"NA","NA","small"
"V",12.75,"NA",60,"NA","NA","large"
