"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"A","NA",1.5,"NA",30,-7.5,"NA"
"A","NA",1.5,"NA",30,7.5,"NA"
"A","NA",1.5,"NA",20,-7.5,"NA"
"A","NA",1.5,"NA",20,7.5,"NA"
"A","NA",1.5,"NA",40,-7.5,"NA"
"A","NA",1.5,"NA",40,7.5,"NA"
"A","NA",1.5,"NA",50,-7.5,"NA"
"A","NA",1.5,"NA",50,7.5,"NA"
"A","NA",1.5,"NA",60,-7.5,"NA"
"A","NA",1.5,"NA",60,7.5,"NA"
"A","NA",1.875,"NA",30,-7.5,"NA"
"A","NA",1.875,"NA",30,7.5,"NA"
"A","NA",1.875,"NA",20,-7.5,"NA"
"A","NA",1.875,"NA",20,7.5,"NA"
"A","NA",1.875,"NA",40,-7.5,"NA"
"A","NA",1.875,"NA",40,7.5,"NA"
"A","NA",1.875,"NA",50,-7.5,"NA"
"A","NA",1.875,"NA",50,7.5,"NA"
"A","NA",1.875,"NA",60,-7.5,"NA"
"A","NA",1.875,"NA",60,7.5,"NA"
"A","NA",1.125,"NA",30,-7.5,"NA"
"A","NA",1.125,"NA",30,7.5,"NA"
"A","NA",1.125,"NA",20,-7.5,"NA"
"A","NA",1.125,"NA",20,7.5,"NA"
"A","NA",1.125,"NA",40,-7.5,"NA"
"A","NA",1.125,"NA",40,7.5,"NA"
"A","NA",1.125,"NA",50,-7.5,"NA"
"A","NA",1.125,"NA",50,7.5,"NA"
"A","NA",1.125,"NA",60,-7.5,"NA"
"A","NA",1.125,"NA",60,7.5,"NA"
"A","NA",3.25,"NA",30,-7.5,"NA"
"A","NA",3.25,"NA",30,7.5,"NA"
"A","NA",3.25,"NA",20,-7.5,"NA"
"A","NA",3.25,"NA",20,7.5,"NA"
"A","NA",3.25,"NA",40,-7.5,"NA"
"A","NA",3.25,"NA",40,7.5,"NA"
"A","NA",3.25,"NA",50,-7.5,"NA"
"A","NA",3.25,"NA",50,7.5,"NA"
"A","NA",3.25,"NA",60,-7.5,"NA"
"A","NA",3.25,"NA",60,7.5,"NA"
"A","NA",3.75,"NA",30,-7.5,"NA"
"A","NA",3.75,"NA",30,7.5,"NA"
"A","NA",3.75,"NA",20,-7.5,"NA"
"A","NA",3.75,"NA",20,7.5,"NA"
"A","NA",3.75,"NA",40,-7.5,"NA"
"A","NA",3.75,"NA",40,7.5,"NA"
"A","NA",3.75,"NA",50,-7.5,"NA"
"A","NA",3.75,"NA",50,7.5,"NA"
"A","NA",3.75,"NA",60,-7.5,"NA"
"A","NA",3.75,"NA",60,7.5,"NA"
"A","NA",2.75,"NA",30,-7.5,"NA"
"A","NA",2.75,"NA",30,7.5,"NA"
"A","NA",2.75,"NA",20,-7.5,"NA"
"A","NA",2.75,"NA",20,7.5,"NA"
"A","NA",2.75,"NA",40,-7.5,"NA"
"A","NA",2.75,"NA",40,7.5,"NA"
"A","NA",2.75,"NA",50,-7.5,"NA"
"A","NA",2.75,"NA",50,7.5,"NA"
"A","NA",2.75,"NA",60,-7.5,"NA"
"A","NA",2.75,"NA",60,7.5,"NA"
"A","NA",5,"NA",30,-7.5,"NA"
"A","NA",5,"NA",30,7.5,"NA"
"A","NA",5,"NA",20,-7.5,"NA"
"A","NA",5,"NA",20,7.5,"NA"
"A","NA",5,"NA",40,-7.5,"NA"
"A","NA",5,"NA",40,7.5,"NA"
"A","NA",5,"NA",50,-7.5,"NA"
"A","NA",5,"NA",50,7.5,"NA"
"A","NA",5,"NA",60,-7.5,"NA"
"A","NA",5,"NA",60,7.5,"NA"
"A","NA",5.7,"NA",30,-7.5,"NA"
"A","NA",5.7,"NA",30,7.5,"NA"
"A","NA",5.7,"NA",20,-7.5,"NA"
"A","NA",5.7,"NA",20,7.5,"NA"
"A","NA",5.7,"NA",40,-7.5,"NA"
"A","NA",5.7,"NA",40,7.5,"NA"
"A","NA",5.7,"NA",50,-7.5,"NA"
"A","NA",5.7,"NA",50,7.5,"NA"
"A","NA",5.7,"NA",60,-7.5,"NA"
"A","NA",5.7,"NA",60,7.5,"NA"
"A","NA",4.3,"NA",30,-7.5,"NA"
"A","NA",4.3,"NA",30,7.5,"NA"
"A","NA",4.3,"NA",20,-7.5,"NA"
"A","NA",4.3,"NA",20,7.5,"NA"
"A","NA",4.3,"NA",40,-7.5,"NA"
"A","NA",4.3,"NA",40,7.5,"NA"
"A","NA",4.3,"NA",50,-7.5,"NA"
"A","NA",4.3,"NA",50,7.5,"NA"
"A","NA",4.3,"NA",60,-7.5,"NA"
"A","NA",4.3,"NA",60,7.5,"NA"
