"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"V",1.5,"NA",30,"NA","NA","small"
"V",1.5,"NA",30,"NA","NA","large"
"V",1.5,"NA",20,"NA","NA","small"
"V",1.5,"NA",20,"NA","NA","large"
"V",1.5,"NA",40,"NA","NA","small"
"V",1.5,"NA",40,"NA","NA","large"
"V",1.5,"NA",50,"NA","NA","small"
"V",1.5,"NA",50,"NA","NA","large"
"V",1.5,"NA",60,"NA","NA","small"
"V",1.5,"NA",60,"NA","NA","large"
"V",1.125,"NA",30,"NA","NA","small"
"V",1.125,"NA",30,"NA","NA","large"
"V",1.125,"NA",20,"NA","NA","small"
"V",1.125,"NA",20,"NA","NA","large"
"V",1.125,"NA",40,"NA","NA","small"
"V",1.125,"NA",40,"NA","NA","large"
"V",1.125,"NA",50,"NA","NA","small"
"V",1.125,"NA",50,"NA","NA","large"
"V",1.125,"NA",60,"NA","NA","small"
"V",1.125,"NA",60,"NA","NA","large"
"V",1.875,"NA",30,"NA","NA","small"
"V",1.875,"NA",30,"NA","NA","large"
"V",1.875,"NA",20,"NA","NA","small"
"V",1.875,"NA",20,"NA","NA","large"
"V",1.875,"NA",40,"NA","NA","small"
"V",1.875,"NA",40,"NA","NA","large"
"V",1.875,"NA",50,"NA","NA","small"
"V",1.875,"NA",50,"NA","NA","large"
"V",1.875,"NA",60,"NA","NA","small"
"V",1.875,"NA",60,"NA","NA","large"
"V",3.25,"NA",30,"NA","NA","small"
"V",3.25,"NA",30,"NA","NA","large"
"V",3.25,"NA",20,"NA","NA","small"
"V",3.25,"NA",20,"NA","NA","large"
"V",3.25,"NA",40,"NA","NA","small"
"V",3.25,"NA",40,"NA","NA","large"
"V",3.25,"NA",50,"NA","NA","small"
"V",3.25,"NA",50,"NA","NA","large"
"V",3.25,"NA",60,"NA","NA","small"
"V",3.25,"NA",60,"NA","NA","large"
"V",2.75,"NA",30,"NA","NA","small"
"V",2.75,"NA",30,"NA","NA","large"
"V",2.75,"NA",20,"NA","NA","small"
"V",2.75,"NA",20,"NA","NA","large"
"V",2.75,"NA",40,"NA","NA","small"
"V",2.75,"NA",40,"NA","NA","large"
"V",2.75,"NA",50,"NA","NA","small"
"V",2.75,"NA",50,"NA","NA","large"
"V",2.75,"NA",60,"NA","NA","small"
"V",2.75,"NA",60,"NA","NA","large"
"V",3.75,"NA",30,"NA","NA","small"
"V",3.75,"NA",30,"NA","NA","large"
"V",3.75,"NA",20,"NA","NA","small"
"V",3.75,"NA",20,"NA","NA","large"
"V",3.75,"NA",40,"NA","NA","small"
"V",3.75,"NA",40,"NA","NA","large"
"V",3.75,"NA",50,"NA","NA","small"
"V",3.75,"NA",50,"NA","NA","large"
"V",3.75,"NA",60,"NA","NA","small"
"V",3.75,"NA",60,"NA","NA","large"
"V",5,"NA",30,"NA","NA","small"
"V",5,"NA",30,"NA","NA","large"
"V",5,"NA",20,"NA","NA","small"
"V",5,"NA",20,"NA","NA","large"
"V",5,"NA",40,"NA","NA","small"
"V",5,"NA",40,"NA","NA","large"
"V",5,"NA",50,"NA","NA","small"
"V",5,"NA",50,"NA","NA","large"
"V",5,"NA",60,"NA","NA","small"
"V",5,"NA",60,"NA","NA","large"
"V",4.3,"NA",30,"NA","NA","small"
"V",4.3,"NA",30,"NA","NA","large"
"V",4.3,"NA",20,"NA","NA","small"
"V",4.3,"NA",20,"NA","NA","large"
"V",4.3,"NA",40,"NA","NA","small"
"V",4.3,"NA",40,"NA","NA","large"
"V",4.3,"NA",50,"NA","NA","small"
"V",4.3,"NA",50,"NA","NA","large"
"V",4.3,"NA",60,"NA","NA","small"
"V",4.3,"NA",60,"NA","NA","large"
"V",5.7,"NA",30,"NA","NA","small"
"V",5.7,"NA",30,"NA","NA","large"
"V",5.7,"NA",20,"NA","NA","small"
"V",5.7,"NA",20,"NA","NA","large"
"V",5.7,"NA",40,"NA","NA","small"
"V",5.7,"NA",40,"NA","NA","large"
"V",5.7,"NA",50,"NA","NA","small"
"V",5.7,"NA",50,"NA","NA","large"
"V",5.7,"NA",60,"NA","NA","small"
"V",5.7,"NA",60,"NA","NA","large"
